accession,entry_name,gene_primary,protein_name,length_aa,mass_da,mw_kda,gene_upper,marker_categories,marker_notes,is_marker,signaling_categories,signaling_notes,is_signaling_prefix,families,family_categories,family_notes,mw_bin_start_kda,mw_bin_end_kda,mw_bin_label,protein_count,marker_count,signaling_prefix_count,family_count,audit_burden_score,audit_priority,defensive_note
P29177,MGMT_BOVIN,MGMT,Methylated-DNA--protein-cysteine methyltransferase (Fragment),9,967.19128,0.96719128,MGMT,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P15507,NPMB_BOVIN,,Morphine-modulating neuropeptide B,8,1082.27008,1.08227008,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0AAA9S596,A0AAA9S596_BOVIN,,Uncharacterized protein,8,1103.3947799999999,1.10339478,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P69206,MORN_BOVIN,,Morphogenetic neuropeptide,11,1142.36348,1.14236348,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0AAA9S118,A0AAA9S118_BOVIN,,Uncharacterized protein,13,1383.4647800000002,1.3834647800000002,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P60316,HOOK3_BOVIN,HOOK3,Protein Hook homolog 3 (Fragment),12,1417.49538,1.41749538,HOOK3,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0AAA9TPS1,A0AAA9TPS1_BOVIN,,Uncharacterized protein,12,1481.68978,1.48168978,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0AAA9TW91,A0AAA9TW91_BOVIN,,Uncharacterized protein,13,1578.99168,1.5789916800000001,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0AAA9SML3,A0AAA9SML3_BOVIN,NUDT7,Nudix hydrolase 7,16,1738.0154799999998,1.7380154799999998,NUDT7,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0AAA9T289,A0AAA9T289_BOVIN,,Uncharacterized protein,17,1836.2973800000002,1.8362973800000002,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0A3Q1MJM7,A0A3Q1MJM7_BOVIN,MXRA7,Matrix-remodeling-associated protein 7,15,1912.0708799999998,1.9120708799999997,MXRA7,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
