accession,entry_name,gene_primary,protein_name,length_aa,mass_da,mw_kda,gene_upper,marker_categories,marker_notes,is_marker,signaling_categories,signaling_notes,is_signaling_prefix,families,family_categories,family_notes,mw_bin_start_kda,mw_bin_end_kda,mw_bin_label,protein_count,marker_count,signaling_prefix_count,family_count,audit_burden_score,audit_priority,defensive_note
P83308,FARP_CHICK,,FMRFamide-like neuropeptide,5,644.81488,0.64481488,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
P19851,TKNB_CHICK,,Neurokinin-A,10,1134.31548,1.13431548,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
P67885,ANGT_CHICK,AGT,Angiotensinogen (Fragment),10,1232.40458,1.2324045799999999,AGT,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
P68072,GON2_CHICK,GNRH2,Gonadoliberin-2,10,1254.32928,1.2543292799999999,GNRH2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
P84553,H1A2_CHICK,,Histone H1.A2 (Fragment),11,1269.55348,1.2695534800000001,,,,False,,,False,Histone family,nuclear marker family,histone family,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,configured audit family match: Histone family
P19850,TKNA_CHICK,,Substance P,11,1376.64218,1.3766421800000002,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
P84520,ADA2_CHICK,ADA2,Adenosine deaminase 2 (Fragment),12,1465.8037800000002,1.4658037800000001,ADA2,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
A0A8V0XA68,A0A8V0XA68_CHICK,,Uncharacterized protein,13,1549.7150800000002,1.5497150800000001,,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
P13724,NEUT_CHICK,NTS,Neurotensin,13,1607.92228,1.60792228,NTS,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
Q92060,MAOX_CHICK,ME1,NADP-dependent malic enzyme (Fragment),15,1842.1492800000003,1.8421492800000003,ME1,,,False,,,False,,,,0.0,2.0,0.0-2.0 kDa,10,0,0,1,1.25,routine,standard full-blot and antibody-validation checks
P21805,ANFC_CHICK,NPPC,C-type natriuretic peptide,22,2243.64228,2.24364228,NPPC,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
Q9PRP6,MOTI_CHICK,MLN,Motilin,22,2686.03758,2.6860375800000003,MLN,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0A8V1A5Z4,A0A8V1A5Z4_CHICK,,LASP1 neighbor,25,2966.8177799999994,2.9668177799999995,,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P01280,SECR_CHICK,SCT,Secretin,27,3130.54338,3.13054338,SCT,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P81073,AMPD1_CHICK,AMPD1,AMP deaminase 1 (Fragment),26,3194.7485799999995,3.1947485799999993,AMPD1,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P30802,GALA_CHICK,GAL,Galanin,29,3212.4904799999995,3.2124904799999996,GAL,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P80896,RPN1_CHICK,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,28,3237.8005799999996,3.2378005799999996,RPN1,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0A8V1ADG6,A0A8V1ADG6_CHICK,,Uncharacterized protein,33,3274.7841799999987,3.274784179999999,,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P20057,HEMO_CHICK,HPX,Hemopexin (Fragment),34,3377.63718,3.3776371800000002,HPX,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P20137,GST5_CHICK,,Glutathione S-transferase 5 (Fragment),28,3388.91948,3.38891948,,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
P11148,COL_CHICK,CLPS,Colipase (Fragment),34,3479.92658,3.47992658,CLPS,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
F1P0F7,F1P0F7_CHICK,SLN,Sarcolipin,31,3789.60778,3.78960778,SLN,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
A0A8V1AD43,A0A8V1AD43_CHICK,BLACAT1,Bladder cancer associated transcript 1,33,3820.4500799999996,3.8204500799999996,BLACAT1,,,False,,,False,,,,2.0,4.0,2.0-4.0 kDa,14,0,0,0,0.7,routine,standard full-blot and antibody-validation checks
